Estuary	Parameter	Value	Metadata
CharlestonHarbor	Oceanic DIP (µM)	0.16	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CharlestonHarbor	Oceanic NO3 (µM)	0.33	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CharlestonHarbor	TSS (tonne.y-1)	32200	NCPDI_1982-1991
CharlestonHarbor	TN (kg.y-1)	2002000	NCPDI_1982-1991
CharlestonHarbor	TP (kg.y-1)	278380	NCPDI_1982-1991
CharlestonHarbor	TSS/Est Area (tonne.km-2.y-1)	378.8	NCPDI TSS/estuary area (see best FW estimate above)
CharlestonHarbor	TN/Est Area (kg.km-2.y-1)	23552.9	NCPDI TN/estuary area (see best FW estimate above)
CharlestonHarbor	TP/Est Area (kg.km-2.y-1)	3275.06	NCPDI TP/estuary area (see best FW estimate above)
CharlotteHarbor	Estuary Latitude	26.76316	Centerpoint latitude for estuary (centroid Y)
CharlotteHarbor	Estuary Longitude	-82.12829	Centerpoint longitude for estuary (centroid X)
CharlotteHarbor	Catchment Latitude	27.28826	Centerpoint latitude for catchment (centroid Y)
CharlotteHarbor	Catchment Longitude	-81.92897	Centerpoint longitude for catchment (centroid X)
CharlotteHarbor	Estuary Area (km2)	502	Estuary area, calculated from NOAA shapefiles
CharlotteHarbor	Tidal Fresh Zone Area (km2)	1	Tidal Fresh area, calculated from NOAA shapefiles
CharlotteHarbor	Mixing Zone Area (km2)	201	Mixing Zone area, calculated from NOAA shapefiles
CharlotteHarbor	Saltwater Zone Area (km2)	300	Salt Water area, calculated from NOAA shapefiles
CharlotteHarbor	Tidal Fresh Blackwater	Yes	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
CharlotteHarbor	Mixing Zone Blackwater	Yes	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
CharlotteHarbor	Seawater Blackwater	Yes	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
CharlotteHarbor	Estuary Volume (m3)	818260000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
CharlotteHarbor	Estuary Depth (m)	1.63	From digital bathymetric chart if available; otherwise NOAA planimetry
CharlotteHarbor	Estuary Perimeter (km)	567	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
CharlotteHarbor	Percent Estuary Open (%)	2.64	Percent of the perimeter that is the \open\ (or oceanic) boundary; somewhat subjective
CharlotteHarbor	Catchment Area (km2)	8134	
CharlotteHarbor	Catchment Mean Elev. (m)	22	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
CharlotteHarbor	Catchment Max Elev. (m)	75	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
CharlotteHarbor	Catchment/Estuary Area Ratio	16.2	Area ratio, based on catchment and area data given above
CharlotteHarbor	Total (km2)	11447.736	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CharlotteHarbor	Population (#)	397072	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
CharlotteHarbor	Pop / Estuary Area (#.km-2)	791	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
CharlotteHarbor	Tide Height (m)	0.65	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
CharlotteHarbor	Tide Volume (m3)	326300000	Tide Height (m) x Estuary Area (km2) x 106
CharlotteHarbor	Tides/day (#)	2	NOAA designation
CharlotteHarbor	Tide Volume / Day (m3.d-1)	630531401	Calculated from tide V and tides/d
CharlotteHarbor	Tide Ratio	0.4	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
CharlotteHarbor	Stratification Ratio	0.0085	Total freshwater flux per day divided by tide volume per day
CharlotteHarbor	Percent Freshwater (%)	0.2	Based on NOAA shape files of the 3 zones according to their designation
CharlotteHarbor	Percent Mixed Water (%)	40.1	Based on NOAA shape files of the 3 zones according to their designation
CharlotteHarbor	Percent Seawater (%)	59.7	Based on NOAA shape files of the 3 zones according to their designation
CharlotteHarbor	Average Salinity (psu)	22	Based on NOAA estimate of freshwater volume, but scaled to \local coastal salinity\, below
CharlotteHarbor	Tidal Exchange (days)	59	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
CharlotteHarbor	Tidal Freshwater Flush (d)	3	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
CharlotteHarbor	Daily FW/Est Area (m.d-1)	10.1	NOAA estimate of daily flow/estuary area
CharlotteHarbor	Daily Freshwater (m3.d-1) (Best)	5070000	NOAA estimate above or (if not available) NCPDI estimate
CharlotteHarbor	Flow / Estuary Area (m.d-1) (Best)	10.1	Best estimate/estuary area
CharlotteHarbor	Total FW Volume (1.d-1)	0.00655	Best estimate/estuary volume (= hydraulic exchange rate)
CharlotteHarbor	Daily Precipitation (m3.d-1)	1720000	Direct precip on system, derived from PRISM shapefile
CharlotteHarbor	Daily Evaporation (m3.d-1)	1430000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
CharlotteHarbor	Daily Precip / Est Area (mm.d-1)	3.426	Daily precipitation/estuary area
CharlotteHarbor	Daily Evap / Est Area (mm.d-1)	2.849	Daily evaporation/estuary area
CharlotteHarbor	Flow (m3.d-1)	2460000	NCPDI_1982-1991
CharlotteHarbor	Air Temp Mean (C)	23.2	For estuary, derived from LOICZ 0.5 degree database
CharlotteHarbor	Air Temp Std Dev (C)	3.8	For estuary, derived from LOICZ 0.5 degree database
CharlotteHarbor	Frost Days (#)	1	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
CharlotteHarbor	Wind Speed (m.sec-1)	5.9	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
CharlotteHarbor	Sea Surface Temp Mean (C)	25.5	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Sea Surface Temp Std Dev (C)	3.1	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Ocean Salinity Mean (psu)	35.9	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Ocean Salinity Max (psu)	36.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Ocean Salinity Min (psu)	34.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Oceanic DIP (µM)	0.1	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	Oceanic NO3 (µM)	0.58	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CharlotteHarbor	TSS (tonne.y-1)	140000	NCPDI_1982-1991
CharlotteHarbor	TN (kg.y-1)	1848000	NCPDI_1982-1991
CharlotteHarbor	TP (kg.y-1)	290780	NCPDI_1982-1991
CharlotteHarbor	TSS/Est Area (tonne.km-2.y-1)	278.9	NCPDI TSS/estuary area (see best FW estimate above)
CharlotteHarbor	TN/Est Area (kg.km-2.y-1)	3681.3	NCPDI TN/estuary area (see best FW estimate above)
CharlotteHarbor	TP/Est Area (kg.km-2.y-1)	579.24	NCPDI TP/estuary area (see best FW estimate above)
ChoctawhatcheeBay	Estuary Latitude	30.44740	Centerpoint latitude for estuary (centroid Y)
ChoctawhatcheeBay	Estuary Longitude	-86.31610	Centerpoint longitude for estuary (centroid X)
ChoctawhatcheeBay	Catchment Latitude	31.24377	Centerpoint latitude for catchment (centroid Y)
ChoctawhatcheeBay	Catchment Longitude	-85.97479	Centerpoint longitude for catchment (centroid X)
ChoctawhatcheeBay	Estuary Area (km2)	340	Estuary area, calculated from NOAA shapefiles
ChoctawhatcheeBay	Tidal Fresh Zone Area (km2)	3	Tidal Fresh area, calculated from NOAA shapefiles
ChoctawhatcheeBay	Mixing Zone Area (km2)	310	Mixing Zone area, calculated from NOAA shapefiles
ChoctawhatcheeBay	Saltwater Zone Area (km2)	27	Salt Water area, calculated from NOAA shapefiles
ChoctawhatcheeBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
ChoctawhatcheeBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
ChoctawhatcheeBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
ChoctawhatcheeBay	Estuary Volume (m3)	1292000000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
ChoctawhatcheeBay	Estuary Depth (m)	3.8	From digital bathymetric chart if available; otherwise NOAA planimetry
ChoctawhatcheeBay	Estuary Perimeter (km)	421	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
ChoctawhatcheeBay	Percent Estuary Open (%)	0.17	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
ChoctawhatcheeBay	Catchment Area (km2)	13496	
ChoctawhatcheeBay	Catchment Mean Elev. (m)	78	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ChoctawhatcheeBay	Catchment Max Elev. (m)	199	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
ChoctawhatcheeBay	Catchment/Estuary Area Ratio	39.7	Area ratio, based on catchment and area data given above
ChoctawhatcheeBay	Air Temp Mean (C)	19.9	For estuary, derived from LOICZ 0.5 degree database
ChoctawhatcheeBay	Air Temp Std Dev (C)	6.2	For estuary, derived from LOICZ 0.5 degree database
ChoctawhatcheeBay	Frost Days (#)	29	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
ChoctawhatcheeBay	Wind Speed (m.sec-1)	6.1	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
ChoctawhatcheeBay	Sea Surface Temp Mean (C)	23.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Sea Surface Temp Std Dev (C)	4.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Ocean Salinity Mean (psu)	35.1	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Ocean Salinity Max (psu)	36.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Ocean Salinity Min (psu)	32.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Oceanic DIP (µM)	0.19	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	Oceanic NO3 (µM)	1.54	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
ChoctawhatcheeBay	TSS (tonne.y-1)	640000	NCPDI_1982-1991
ChoctawhatcheeBay	TN (kg.y-1)	5068000	NCPDI_1982-1991
ChoctawhatcheeBay	TP (kg.y-1)	259780	NCPDI_1982-1991
ChoctawhatcheeBay	TSS/Est Area (tonne.km-2.y-1)	1882.4	NCPDI TSS/estuary area (see best FW estimate above)
ChoctawhatcheeBay	TN/Est Area (kg.km-2.y-1)	14905.9	NCPDI TN/estuary area (see best FW estimate above)
ChoctawhatcheeBay	TP/Est Area (kg.km-2.y-1)	764.06	NCPDI TP/estuary area (see best FW estimate above)
CorpusChristi	Estuary Latitude	27.74911	Centerpoint latitude for estuary (centroid Y)
CorpusChristi	Estuary Longitude	-97.29346	Centerpoint longitude for estuary (centroid X)
CorpusChristi	Catchment Latitude	28.83455	Centerpoint latitude for catchment (centroid Y)
CorpusChristi	Catchment Longitude	-98.81503	Centerpoint longitude for catchment (centroid X)
CorpusChristi	Estuary Area (km2)	571	Estuary area, calculated from NOAA shapefiles
CorpusChristi	Tidal Fresh Zone Area (km2)	0	Tidal Fresh area, calculated from NOAA shapefiles
CorpusChristi	Mixing Zone Area (km2)	47	Mixing Zone area, calculated from NOAA shapefiles
CorpusChristi	Saltwater Zone Area (km2)	524	Salt Water area, calculated from NOAA shapefiles
CorpusChristi	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
CorpusChristi	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
CorpusChristi	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
CorpusChristi	Estuary Volume (m3)	1535990000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
CorpusChristi	Estuary Depth (m)	2.69	From digital bathymetric chart if available; otherwise NOAA planimetry
CorpusChristi	Estuary Perimeter (km)	584	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
CorpusChristi	Percent Estuary Open (%)	0.19	Percent of the perimeter that is the \open\ (or oceanic) boundary; somewhat subjective
CorpusChristi	Catchment Area (km2)	44525	
CorpusChristi	Catchment Mean Elev. (m)	233	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
CorpusChristi	Catchment Max Elev. (m)	736	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
CorpusChristi	Catchment/Estuary Area Ratio	78	Area ratio, based on catchment and area data given above
CorpusChristi	Total (km2)	44322.5057	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
CorpusChristi	Population (#)	424884	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
CorpusChristi	Pop / Estuary Area (#.km-2)	744.1	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
CorpusChristi	Tide Height (m)	0.4	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
CorpusChristi	Tide Volume (m3)	228400000	Tide Height (m) x Estuary Area (km2) x 106
CorpusChristi	Tides/day (#)	1	NOAA designation
CorpusChristi	Tide Volume / Day (m3.d-1)	220676329	Calculated from tide V and tides/d
CorpusChristi	Tide Ratio	0.15	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
CorpusChristi	Stratification Ratio	0.00101	Total freshwater flux per day divided by tide volume per day
CorpusChristi	Percent Freshwater (%)	0	Based on NOAA shape files of the 3 zones according to their designation
CorpusChristi	Percent Mixed Water (%)	8.2	Based on NOAA shape files of the 3 zones according to their designation
CorpusChristi	Percent Seawater (%)	91.8	Based on NOAA shape files of the 3 zones according to their designation
CorpusChristi	Average Salinity (psu)	28	Based on NOAA estimate of freshwater volume, but scaled to \local coastal salinity\, below
CorpusChristi	Tidal Exchange (days)	1320	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
CorpusChristi	Tidal Freshwater Flush (d)	46	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
CorpusChristi	Daily FW/Est Area (m.d-1)	0.862	NOAA estimate of daily flow/estuary area
CorpusChristi	Daily Freshwater (m3.d-1) (Best)	492000	NOAA estimate above or (if not available) NCPDI estimate
CorpusChristi	Flow / Estuary Area (m.d-1) (Best)	0.862	Best estimate/estuary area
CorpusChristi	Total FW Volume (1.d-1)	0.00014	Best estimate/estuary volume (= hydraulic exchange rate)
CorpusChristi	Daily Precipitation (m3.d-1)	1270000	Direct precip on system, derived from PRISM shapefile
CorpusChristi	Daily Evaporation (m3.d-1)	1540000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
CorpusChristi	Daily Precip / Est Area (mm.d-1)	2.224	Daily precipitation/estuary area
CorpusChristi	Daily Evap / Est Area (mm.d-1)	2.697	Daily evaporation/estuary area
CorpusChristi	Flow (m3.d-1)	2090000	NCPDI_1982-1991
CorpusChristi	Air Temp Mean (C)	21.9	For estuary, derived from LOICZ 0.5 degree database
CorpusChristi	Air Temp Std Dev (C)	5.5	For estuary, derived from LOICZ 0.5 degree database
CorpusChristi	Frost Days (#)	7	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
CorpusChristi	Wind Speed (m.sec-1)	7.1	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
CorpusChristi	Sea Surface Temp Mean (C)	24.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Sea Surface Temp Std Dev (C)	3.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Ocean Salinity Mean (psu)	34.6	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Ocean Salinity Max (psu)	36.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Ocean Salinity Min (psu)	30.4	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Oceanic DIP (µM)	0.19	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	Oceanic NO3 (µM)	0.13	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
CorpusChristi	TSS (tonne.y-1)	318000	NCPDI_1982-1991
CorpusChristi	TN (kg.y-1)	2212000	NCPDI_1982-1991
CorpusChristi	TP (kg.y-1)	214520	NCPDI_1982-1991
CorpusChristi	TSS/Est Area (tonne.km-2.y-1)	556.9	NCPDI TSS/estuary area (see best FW estimate above)
CorpusChristi	TN/Est Area (kg.km-2.y-1)	3873.9	NCPDI TN/estuary area (see best FW estimate above)
CorpusChristi	TP/Est Area (kg.km-2.y-1)	375.69	NCPDI TP/estuary area (see best FW estimate above)
EastMississippiSound	Estuary Latitude	30.35072	Centerpoint latitude for estuary (centroid Y)
EastMississippiSound	Estuary Longitude	-88.35675	Centerpoint longitude for estuary (centroid X)
EastMississippiSound	Catchment Latitude	31.47083	Centerpoint latitude for catchment (centroid Y)
EastMississippiSound	Catchment Longitude	-88.96874	Centerpoint longitude for catchment (centroid X)
EastMississippiSound	Estuary Area (km2)	654	Estuary area, calculated from NOAA shapefiles
EastMississippiSound	Tidal Fresh Zone Area (km2)	1	Tidal Fresh area, calculated from NOAA shapefiles
EastMississippiSound	Mixing Zone Area (km2)	590	Mixing Zone area, calculated from NOAA shapefiles
EastMississippiSound	Saltwater Zone Area (km2)	63	Salt Water area, calculated from NOAA shapefiles
EastMississippiSound	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
EastMississippiSound	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
EastMississippiSound	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
EastMississippiSound	Estuary Volume (m3)	1530360000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
EastMississippiSound	Estuary Depth (m)	2.34	From digital bathymetric chart if available; otherwise NOAA planimetry
EastMississippiSound	Estuary Perimeter (km)	376	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
EastMississippiSound	Percent Estuary Open (%)	3.46	Percent of the perimeter that is the \open\ (or oceanic) boundary; somewhat subjective
EastMississippiSound	Catchment Area (km2)	25006	
EastMississippiSound	Catchment Mean Elev. (m)	81	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
EastMississippiSound	Catchment Max Elev. (m)	198	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
EastMississippiSound	Catchment/Estuary Area Ratio	38.2	Area ratio, based on catchment and area data given above
EastMississippiSound	Total (km2)	24858.6918	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
EastMississippiSound	Population (#)	523176	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
EastMississippiSound	Pop / Estuary Area (#.km-2)	800	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
EastMississippiSound	Tide Height (m)	0.49	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
EastMississippiSound	Tide Volume (m3)	320460000	Tide Height (m) x Estuary Area (km2) x 106
EastMississippiSound	Tides/day (#)	1	NOAA designation
EastMississippiSound	Tide Volume / Day (m3.d-1)	309623188	Calculated from tide V and tides/d
EastMississippiSound	Tide Ratio	0.21	Tide Height divided by Estuary Depth; a cleanup of a NOAA variable
EastMississippiSound	Stratification Ratio	0.11511	Total freshwater flux per day divided by tide volume per day
EastMississippiSound	Percent Freshwater (%)	0.2	Based on NOAA shape files of the 3 zones according to their designation
EastMississippiSound	Percent Mixed Water (%)	90.2	Based on NOAA shape files of the 3 zones according to their designation
EastMississippiSound	Percent Seawater (%)	9.7	Based on NOAA shape files of the 3 zones according to their designation
EastMississippiSound	Average Salinity (psu)	14	Based on NOAA estimate of freshwater volume, but scaled to \local coastal salinity\, below
EastMississippiSound	Tidal Exchange (days)	25	Exchange time as (Est_V/net fw_V per d)*((coastal_sal - avg_sal)/coastal_sal); a salinity-based estimate of exchange
EastMississippiSound	Tidal Freshwater Flush (d)	15	NOAA-based calculation, using (daily tide + freshwater volume)/system volume
EastMississippiSound	Daily FW/Est Area (m.d-1)	52.599	NOAA estimate of daily flow/estuary area
EastMississippiSound	Daily Freshwater (m3.d-1) (Best)	34400000	NOAA estimate above or (if not available) NCPDI estimate
EastMississippiSound	Flow / Estuary Area (m.d-1) (Best)	52.599	Best estimate/estuary area
EastMississippiSound	Total FW Volume (1.d-1)	0.02329	Best estimate/estuary volume (= hydraulic exchange rate)
EastMississippiSound	Daily Precipitation (m3.d-1)	2810000	Direct precip on system, derived from PRISM shapefile
EastMississippiSound	Daily Evaporation (m3.d-1)	1570000	Direct evaporation from system, derived fromLOICZ 0.5 degree database, originally from Wilmott
EastMississippiSound	Daily Precip / Est Area (mm.d-1)	4.297	Daily precipitation/estuary area
EastMississippiSound	Daily Evap / Est Area (mm.d-1)	2.401	Daily evaporation/estuary area
EastMississippiSound	Flow (m3.d-1)	43800000	NCPDI_1982-1991
EastMississippiSound	Air Temp Mean (C)	20.1	For estuary, derived from LOICZ 0.5 degree database
EastMississippiSound	Air Temp Std Dev (C)	6.2	For estuary, derived from LOICZ 0.5 degree database
EastMississippiSound	Frost Days (#)	23	Number of frost days per year for estuary, derived from LOICZ 0.5 degree database
EastMississippiSound	Wind Speed (m.sec-1)	6.2	Estuary windspeed derived from LOICZ 0.5 degree database, PROBABLY CRUDE, AND WE NEED WIND DIRECTION
EastMississippiSound	Sea Surface Temp Mean (C)	23.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Sea Surface Temp Std Dev (C)	4.7	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Ocean Salinity Mean (psu)	32.8	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Ocean Salinity Max (psu)	35.2	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Ocean Salinity Min (psu)	30.3	From LOICZ 0.5 degree database, originally from World Ocean Atlas, ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Oceanic DIP (µM)	0.24	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	Oceanic NO3 (µM)	1.88	0.5 DEGREE database, supplied by J. Guinotte, KGS, originally from WOA, CRUDE ANNUAL ESTIMATE FOR OPEN SHELF
EastMississippiSound	TSS (tonne.y-1)	407000	NCPDI_1982-1991
EastMississippiSound	TN (kg.y-1)	17500000	NCPDI_1982-1991
EastMississippiSound	TP (kg.y-1)	1184200	NCPDI_1982-1991
EastMississippiSound	TSS/Est Area (tonne.km-2.y-1)	622.3	NCPDI TSS/estuary area (see best FW estimate above)
EastMississippiSound	TN/Est Area (kg.km-2.y-1)	26758.4	NCPDI TN/estuary area (see best FW estimate above)
EastMississippiSound	TP/Est Area (kg.km-2.y-1)	1810.7	NCPDI TP/estuary area (see best FW estimate above)
GalvestonBay	Estuary Latitude	29.41312	Centerpoint latitude for estuary (centroid Y)
GalvestonBay	Estuary Longitude	-94.87944	Centerpoint longitude for estuary (centroid X)
GalvestonBay	Catchment Latitude	31.35790	Centerpoint latitude for catchment (centroid Y)
GalvestonBay	Catchment Longitude	-95.73901	Centerpoint longitude for catchment (centroid X)
GalvestonBay	Estuary Area (km2)	1456	Estuary area, calculated from NOAA shapefiles
GalvestonBay	Tidal Fresh Zone Area (km2)	29	Tidal Fresh area, calculated from NOAA shapefiles
GalvestonBay	Mixing Zone Area (km2)	1194	Mixing Zone area, calculated from NOAA shapefiles
GalvestonBay	Saltwater Zone Area (km2)	233	Salt Water area, calculated from NOAA shapefiles
GalvestonBay	Tidal Fresh Blackwater	No	Refers to whether the Tidal Fresh Zone in this estuary is considered to be Blackwater
GalvestonBay	Mixing Zone Blackwater	No	Refers to whether the Mixing Zone in this estuary is considered to be Blackwater
GalvestonBay	Seawater Blackwater	No	Refers to whether the Seawater Zone in this estuary is considered to be Blackwater
GalvestonBay	Estuary Volume (m3)	2242240000	Best estimate of volume from digital bathymetric chart if available; otherwise NOAA planimetry
GalvestonBay	Estuary Depth (m)	1.54	From digital bathymetric chart if available; otherwise NOAA planimetry
GalvestonBay	Estuary Perimeter (km)	1074	Perimeter of estuary, based on shape file; can be used to calculate various aspect ratios
GalvestonBay	Percent Estuary Open (%)	0.65	Percent of the perimeter that is the \;open\; (or oceanic) boundary; somewhat subjective
GalvestonBay	Catchment Area (km2)	61826	
GalvestonBay	Catchment Mean Elev. (m)	132	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
GalvestonBay	Catchment Max Elev. (m)	426	Calculated from catchment shapefiles + Hydro1K (a global 1-km grid of elevation)
GalvestonBay	Catchment/Estuary Area Ratio	42.5	Area ratio, based on catchment and area data given above
GalvestonBay	Total (km2)	60429.52	USGS Land Use and Land Cover (LUDA) for entire watershed 1972 with CENSUS 1990 information, base year early 1990s
GalvestonBay	Population (#)	7583512	Based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN)
GalvestonBay	Pop / Estuary Area (#.km-2)	5208.5	Population based on gridded (1-km) US 1990 census data, corrected for catchments extending outside US (with LANDSCAN). Estuary area, calculated from NOAA shapefiles.
GalvestonBay	Tide Height (m)	0.31	NOAA estimate of tide height, back-calculated from tide volume; in some cases guessed from nearby systems
GalvestonBay	Tide Volume (m3)	451360000	Tide Height (m) x Estuary Area (km2) x 106
GalvestonBay	Tides/day (#)	1	NOAA designation
